	KW	VD	PR1	PR2	PR3	PR4	PR5	PR6	Tier	Avg_tier_height	Vys_1	Vys_2	Vys_3	Vys_4	Vys_5	Vys_6	DM1	DM2	DM3	DM4	DM5	DM6	Age_class	Age_group	Bon	Vyd_reserve	Full
743	13	15	5Б	2Ос	3Е				1	21	21	24	20				18	22	18				6	2	2	103	0.8
744	13	16	4Ос	3Б	2Е	1С			1	27	28	26	26	28			36	24	24	32			8	4	1	200	0.6
745	13	17	6Е	2Б	2Ос				1	20	19	20	22				18	16	20				3	2	2	31	0.8
746	13	18	6Е	2С	2Б				1	21	21	22	21				20	22	18				4	2	2	32	0.7
747	13	19	5Ос	3Б	2Е				1	25	26	24	24				26	20	24				6	3	1	36	0.7
748	13	20	6С	1Е	3Б				1	15	16	14	14				16	12	12				3	2	3	26	0.7
749	13	21	6Е	2Б	2Ос				1	3	3	2.0	2.0				4						1	1	2	1	0.4
750	13	22	7Б	2Ос	1Е				1	22	22	25	20				18	26	18				6	2	2	103	0.7
751	13	23	4Е	2С	3Б	1Ос			1	25	25	25	25	26			26	26	20	26			4	2	1	70	0.7
752	13	24	6Е	2Б	2Ос				1	3	3	2.0	2.0				4	2	2				1	1	2		0.4
753	13	25	6Е	3С	1Б				1	22	21	24	22				20	24	18				4	2	2	77	0.9
754	13	26	5Б	2Ос	2С	1Е			1	25	24	27	24	23			20	28	24	22			6	2	1	23	0.7
755	13	27	10С						1	18	18						18						4	2	3	94	0.8
756	13	28	4Е	2С	2Б	2Ос			1	25	25	25	25	26			24	26	20	26			4	2	1	23	0.8
757	13	29	6Б	3Ос	1Е				1	26	26	28	24				22	28	24				7	2	1	14	0.7
758	13	30	2Е	2Е	2С	3Б	1Ос		1	23	18	24	26	22	24		16	24	32	18	24		3	2	2	23	0.6
759	13	31	3Е	2С	2Б	3Ос			1	27	24	29	27	29			24	32	26	36			5	2	2	48	0.5
760	13	32																							3		
761	13	33	3Е	2Е	3С	2Б			1	26	27	22	28	25			28	20	32	24			7	3	2	26	0.4
762	13	34	8Е	2Б					1	4	4	3					4	2					1	1	3	4	0.5
763	13	35	8С	2Е					1	34	35	28					44	28					8	4	1	305	0.6
764	13	36	5Е	3С	2Б				1	19	19	20	19				18	20	16				3	2	2	42	0.8
765	13	37	10С						1	17	17						18						3	2	1	51	0.9
766	13	38	2Е	2Е	2С	2Б	2Ос		1	18	16	21	17	17	18		14	24	18	14	20		3	2	3	41	0.7
767	13	39	8Е	2Б					1	3	3	2.0					4						1	1	3	1	0.4
768	13	40	7С	2Е	1Б				1	30	32	27	26				36	28	20				8	4	1	9	0.4
769	13	41	5Ос	3Б	2Е				1	23	26	22	19				24	18	18				7	4	1	32	0.7
770	13	42	5Б	3Ос	2С				1	20	18	23	19				14	20	20				7	2	3	30	0.7
771	13	43	7С	2Е	1Б				1	16	16	15	15				14	14	12				3	2	1	27	0.8
772	13	44	7Б	2Ос	1Е				1	19	19	20	18				16	20	16				5	2	2	12	0.7
773	13	45	4Е	2С	2Б	2Ос			1	14	13	14	15	16			12	12	12	12			3	2	3	19	0.7
774	13	46	7С	3Е					1	30	32	26					36	24					8	4	1	45	0.7
775	13	47	5Ос	2Б	2Е				1	26	28	25	24				30	22	20				7	4	1	44	0.7
776	13	48	8С	1Б	1Ос				1	26	26	23	27				26	20	28				4	2	1	51	0.8
777	13	49	6Ос	2Б	1С	1Е			1	26	27	24	24	23			28	20	24	24			7	4	1	145	0.8
778	13	50	6Б	1Ос	2С	1Е			1	17	17	18	17	16			14	18	18	14			5	2	3	15	0.6
779	13	51	7С	3Б					1	13	14	12					14	10					3	2	3	6	0.6
780	13	52	7Е	2С	1Б				1	25	25	25	23				22	24	20				4	2	1	103	0.9
781	13	53	6Б	3Ос	1Е				1	25	25	27	23				20	28	22				6	2	1	44	0.8
782	13	54	5Б	2Ос	3Е				1	23	22	25	24				18	24	24				6	2	2	9	0.7
783	13	55	7С	3Б					1	14	14	13					16	8					3	2	3	37	0.6
784	13	56	9С	1Б					1	12	12	9					10	6					3	2	3	17	0.7
785	13	57	4С	4С	2Б				1	15	17	14	12				20	14	8				5	2	4	36	0.6
786	13	58	7С	2С	1Б				1	17	18	14	13				20	14	10				5	2	4	10	0.6
787	13	59	3С	3С	4Б				1	12	11	15	10				12	18	6				3	2	4	11	0.7
788	13	60	9С	1Б					1	20	20	18					22	16					4	2	3	12	0.7
789	13	61	6С	3С	1Б				1	17	18	16	15				22	18	14				5	2	4	10	0.6
790	13	62																									
791	13	63																									
792	13	64																									
793	13	65																									
794	14	1	4Б	2Ос	2С	2Е			1	27	27	29	27	26			26	32	28	26			9	4	1	26	0.7
795	14	2	10Ос						1	29	29						30						8	5	1	21	0.8
796	14	3	5Е	3Б	2Ос				1	26	26	24	28				28	24	28				5	3	2	8	0.5
797	14	4	9С	1Б					1	27	27	25					28	22					4	2	1	23	0.8
798	14	5	5Ос	2Б	3Е				1	28	30	25	25				32	22	24				9	5	1	24	0.4
799	14	6	4Ос	3Б	3Е				1	27	29	25	25				30	22	26				9	5	1	20	0.7
800	14	7	5Ос	2Б	2Е	1С			1	27	29	25	26	25			32	22	28	26			9	5	1	23	0.6
801	14	8	6С	3С	1Б				1	23	25	20	18				32	20	16				8	5	3	57	0.6
802	14	9	10Ос						1	30	30						32						9	5	1	30	0.9
803	14	10	7Ос	2Б	1Е				1	28	29	25	25				30	22	26				9	5	1	108	0.8
804	14	11	3Б	3Ос	2С	2Е			1	27	27	29	27	25			28	30	28	24			9	4	1	144	0.7
805	14	12	4Б	4Ос	2Е				1	27	27	29	24				24	30	22				9	4	1	43	0.8
806	14	13	2Е	2Е	2С	2Б	2Ос		1	27	25	28	28	25	29		24	32	32	22	32		5	3	2	98	0.6
807	14	14	7Ос	3Б					1	29	30	26					32	24					9	5	1	9	0.6
808	14	15	5Б	2Ос	3Е				1	22	22	24	19				16	24	18				6	2	2	111	0.8
809	14	16	7Ос	3Б					1	29	30	26					32	24					9	5	1	128	0.6
810	14	17	7Е	2Б	1Ос				1	21	21	20	22				18	16	22				4	2	2	27	0.7
811	14	18	4Е	2Е	2Б	2Ос			1	27	26	29	26	29			28	32	26	40			6	4	2	92	0.6
812	14	19	6Е	2Б	2Ос				1	27	27	26	28				26	24	32				5	3	1	25	0.6
813	14	20	4Б	2Ос	4Е				1	23	24	28	19				22	32	18				9	4	2	25	0.7
814	14	21	7Ос	3Б					1	27	28	26					36	26					10	5	1	11	0.6
815	14	22	6Ос	2Б	2Е				1	28	29	27	26				32	24	26				9	5	1	39	0.6
816	14	23	6С	3С	1Б				1	21	21	23	18				22	28	16				5	3	3	33	0.7
817	14	24	4Ос	2Б	2Е	2С			1	27	29	25	25	27			32	22	24	28			9	5	1	229	0.8
818	14	25	8Ос	1Б	1Е				1	29	30	26	26				32	24	24				9	5	1	154	0.8
819	14	26	6С	2Е	1Б	1Ос			1	28	29	27	27	29			36	28	24	36			8	5	2	32	0.5
820	14	27	4С	2Е	2Б	2Ос			1	29	29	27	27	32			32	28	26	36			8	5	2	81	0.5
821	14	28	4Ос	3Б	2Е	1С			1	28	31	25	25	28			40	24	24	32			11	5	1	36	0.6
822	14	29	8Е	2Б					1	17	17	17					16	14					3	2	2	18	0.8
823	14	30	6Б	3Ос	1Е				1	24	23	26	23				18	26	22				6	2	2	67	0.8
824	14	31	4Е	2Е	2Б	2Ос			1	26	28	21	25	28			30	22	22	32			7	4	2	21	0.7
825	14	32	7Е	2Б	1Ос				1	25	25	23	26				22	20	26				4	2	1	27	0.8
826	14	33	6Е	2Б	2Ос				1	26	26	24	27				26	20	28				4	2	1	80	0.8
827	14	34	7Б	2С	1Е				1	20	19	23	19				16	24	16				8	4	3	20	0.7
828	14	35	6Ос	2Б	1С	1Е			1	22	23	19	22	19			22	16	24	18			7	4	2	10	0.7
829	14	36	6С	4С					1	18	19	17					22	18					5	3	3	27	0.7
830	14	37	6С	4С					1	18	17	19					18	24					3	2	2	29	0.8
831	14	38	6Б	2Ос	1С	1Е			1	17	16	19	17	15			14	16	16	14			5	2	3	23	0.8
832	14	39	10С						1	24	24						28						6	4	3	85	0.5
833	14	40	4С	2Е	4Б				1	19	20	18	18				22	18	16				6	3	4	27	0.6
834	14	41	10С						1	16	16						18						6	3	5	54	0.6
835	14	42	6Б	2С	2Е				1	18	18	19	18				14	18	16				8	4	4	10	0.6
836	14	43	8С	2Б					1	29	30	27					32	24					7	4	2	33	0.4
837	14	44	7С	2Е	1Б				1	24	25	21	23				28	22	22				7	4	3	10	0.6
838	14	45	6Б	1Ос	3Е				1	20	21	24	16				16	18	14				6	2	2	89	0.8
839	14	46	7Е	3Б					1	25	25	25					24	20					6	4	3	26	0.3
840	14	47	6Б	4Ос					1	27	26	29					24	36					10	5	2	138	0.7
841	14	48																									
842	14	49																									
843	14	50																									
844	14	51																									
845	15	1	5Б	1Ос	3Е	1С			1	25	24	27	25	26			18	28	22	26			7	2	2	93	0.7
846	15	2	4Ос	2Б	2С	2Е			1	27	28	26	26	25			28	22	24	22			7	4	1	168	0.8
847	15	3	4С	3Е	2Б	1Ос			1	24	25	23	24	27			24	22	20	28			4	2	1	90	0.8
848	15	4	10Ос						1	35	35						40						10	5	1А	32	0.8
849	15	5	4Е	2Е	1С	2Б	1Ос		1	30	32	26	34	28	34		26	22	40	28	40		7	3	1	265	0.7
850	15	6	5Б	1Ос	2Е	2С			1	26	25	29	26	28			24	36	26	32			10	4	2	68	0.6
851	15	7	5С	3Е	1Б	1Ос			1	34	34	32	35	35			40	36	40	40			7	3	1	30	0.6
852	15	8	5Б	3Ос	2Е				1	28	26	33	26				24	40	26				9	4	2	16	0.6
853	15	9	5Ос	4Б	1Е				1	29	30	27	27				40	26	28				10	5	1	28	0.6
854	15	10	10Е						1	6	6						6						1	1	2	3	0.4
855	15	11	8С	2Е					1	25	26	23					30	24					8	4	3	57	0.6
856	15	12	4Б	2Олч	2Е	2С			1	22	21	21	22	25			22	22	22	26			10	4	3	35	0.6
857	15	13	4Ос	2Б	3Е	1С			1	31	32	28	30	33			40	28	32	40			12	5	1	23	0.4
858	15	14	4С	2Е	2Б	2Ос			1	28	29	26	26	32			32	26	24	40			7	3	2	110	0.6
859	15	15	4Е	3Е	3Б				1	16	14	18	15				12	18	10				3	2	2	71	0.7
860	15	16	4С	1Е	4Б	1Ос			1	28	30	27	26	33			36	26	24	40			6	2	1	95	0.6
861	15	17	10Е						1	3	3						4						1	1	2	1	0.4
862	15	18	3С	2Е	3Ос	2Б			1	27	28	25	30	25			32	24	36	24			8	4	2	19	0.4
863	15	19	10С						1	25	25						30						6	2	3	70	0.6
864	15	20	10С						1	20	20						20						5	2	3	50	0.7
865	15	21	6Б	2Ос	1Е	1С			1	24	23	27	25	27			24	30	26	30			10	4	3	17	0.6
866	15	22	10С						1	26	26						24						4	2	1А	109	0.8
867	15	23	4Е	2С	2Б	2Ос			1	25	23	25	25	27			20	24	20	28			4	2	1	40	0.7
868	15	24	4С	2Е	3Б	1Ос			1	24	24	23	25	27			24	20	20	28			4	2	1	61	0.7
869	15	25	9Ос	1Б					1	28	28	25					28	22					7	4	1	24	0.8
870	15	26	4Е	1С	3Б	2Ос			1	25	24	26	25	28			24	28	20	30			4	2	1	149	0.8
871	15	27	5С	2Е	2Б	1Ос			1	28	30	26	26	29			36	28	28	32			8	4	2	53	0.6
872	15	28	4Ос	2Б	2С	2Е			1	29	31	26	31	28			36	24	36	28			12	5	1	36	0.5
873	15	29	3Е	2С	3Б	2Ос			1	27	25	28	26	28			26	30	22	32			6	2	2	333	0.7
874	15	30	4Е	2Е	2С	1Б	1Ос		1	25	27	19	27	25	29		28	18	36	24	36		7	3	2	63	0.6
875	15	31	6С	2Е	2Б				1	28	29	26	25				32	26	24				7	3	2	39	0.6
876	15	32	4С	2Е	2Е	1Б	1Ос		1	28	30	28	24	25	29		36	32	24	24	36		7	3	2	267	0.6
877	15	33	7Ос	1С	2Е				1	34	35	33	29				40	40	30				12	5	1А	54	0.7
878	15	34	4Е	2С	3Б	1Ос			1	25	25	27	24	28			24	28	20	36			5	2	2	69	0.6
879	15	35	6Е	2Б	2Олс				1	3	3	2.0	2.0				4	2	2				1	1	2		0.4
880	15	36	5Е	2С	1Б	2Ос			1	26	25	25	25	28			24	28	20	30			4	2	1	181	0.8
881	15	37	3Е	2С	4Б	1Ос			1	25	24	25	25	27			22	24	20	28			4	2	1	138	0.8
882	15	38	7Е	2С	1Б				1	24	23	25	24				22	26	20				4	2	1	69	0.9
883	15	39	6Ос	2Б	2Е				1	28	30	26	25				32	24	24				10	5	1	21	0.6
884	15	40	4Е	2Е	2С	1Б	1Ос		1	26	27	19	28	25	29		28	18	36	24	40		7	3	2	69	0.6
885	15	41	3Е	3Е	2С	1Б	1Ос		1	26	28	21	29	24	29		32	22	36	20	32		7	3	2	85	0.6
886	15	42	5С	3Е	2Б				1	29	31	28	26				36	28	24				8	4	1	52	0.5
887	15	43	6Б	4Е					1	23	24	21					20	20					7	2	2	37	0.6
888	15	44	7Б	1Ос	2Е				1	25	26	28	22				24	28	20				7	2	1	13	0.7
889	15	45	7Ос	1Б	1С	1Е			1	28	28	24	29	28			32	20	36	28			8	4	1	10	0.5
890	15	46	6Б	1Ос	2Е	1С			1	24	24	28	22	22			22	24	20	20			7	2	2	95	0.8
891	15	47	5С	2Е	2Е	1Ос			1	29	30	28	25	33			44	32	26	40			8	4	2	36	0.7
892	15	48	5Ос	3Б	2Е				1	25	27	24	22				28	18	24				7	4	1	78	0.7
893	15	49	10Е						1	5	5						6						1	1	3	6	0.4
894	15	50	4Е	3Е	2Б	1Ос			1	26	28	24	24	27			32	22	22	30			7	3	2	18	0.4
895	15	51	4Ос	2Б	2Е	2Е			1	25	27	25	21	27			28	24	18	28			9	5	1	10	0.6
896	15	52																									
897	15	53																									
898	15	54																									
899	16	1	4Е	2С	2Б	2Ос			1	27	26	28	25	28			28	30	24	30			5	2	2	19	0.5
900	16	2	8С	1Е	1Б				1	26	27	24	22				32	24	20				6	2	2	44	0.6
901	16	3	6Б	3Олс	1Е				1	8	8	7	6				6	4	6				2	1	3	6	0.7
902	16	4																							3		
903	16	5	6Б	3Ос	1Е				1	24	23	25	22				20	22	20				5	2	1	53	0.8
904	16	6	5Е	5Б					1	15	14	16					12	12					3	2	3	21	0.8
905	16	7	7С	1Е	2Б				1	13	13	12	12				14	12	10				3	2	3	9	0.5
906	16	8	9С	1Б					1	14	14	12					14	14					3	2	3	29	0.8
907	16	9	6Б	1Ос	2Е	1С			1	17	17	18	16	18			14	18	16	18			5	2	3	35	0.7
908	16	10	6С	3С	1Б				1	15	14	16	13				14	18	10				3	2	3	67	0.6
909	16	11	10С						1	10	10						12						3	2	4	87	0.7
910	16	12	5С	5С					1	15	16	13					20	14					5	2	4	67	0.6
911	16	13	9С	1Б					1	13	13	11					12	8					3	2	3	10	0.7
912	16	14	4Е	3С	2Б	1Ос			1	24	21	27	25	29			20	32	24	32			4	2	2	35	0.7
913	16	15	4Б	2Ос	4Е				1	21	21	26	19				18	28	18				6	2	2	25	0.8
914	16	16	3С	2Е	2Б	3Ос			1	27	27	25	25	29			32	26	24	36			6	2	2	31	0.6
915	16	17	6Б	2Ос	2Е				1	20	20	23	19				16	20	18				5	2	2	15	0.8
916	16	18	6Е	2Б	2Ос				1	23	23	21	23				20	16	24				3	2	1	31	0.9
917	16	19	5Ос	4Б	1Е				1	25	27	23	23				26	18	24				6	3	1А	144	0.8
918	16	20	7Ос	3Б					1	25	26	24					24	20					6	3	1	127	0.9
919	16	21	3Б	3Ос	3Е	1С			1	21	20	25	17	25			16	24	16	32			6	2	2	21	0.8
920	16	22																									
921	16	23																									
922	16	24																									
923	44	1	3Е	2Е	3Б	2Ос			1	26	24	26	25	28			28	36	28	36			5	2	2	351	0.5
924	44	2	5Б	3Ос	2Е				1	26	26	27	22				26	36	24				12	5	2	78	0.6
925	44	3	6Ос	3Б	1Е				1	26	27	25	23				36	28	26				11	5	2	117	0.7
926	44	4	6Б	1Олч	3Е				1	24	26	22	22				24	22	24				10	4	2	121	0.6
927	44	5	4Е	3Б	3Ос				1	7	6	7	8				6	4	4				2	1	3	8	0.5
928	44	6	4Е	3Е	2Б	1Ос			1	25	23	26	25	27			28	36	26	40			5	2	3	180	0.4
929	44	7	4Е	2Е	3Б				1	25	24	26	25				26	30	26				5	2	2	108	0.5
930	44	8	5Б	1Ос	1Олч	3Е			1	25	25	27	22	24			28	36	24	28			11	5	2	53	0.6
931	44	9	6Б	2С	2Е				1	23	23	23	21				24	26	24				9	4	3	16	0.7
932	44	10	7С	2Е	1Б				1	24	24	22	24				30	26	24				8	4	3	32	0.6
933	44	11	6Е	2Е	2Б				1	24	23	26	25				24	30	28				7	3	3	81	0.6
934	44	12	6Е	2Б	2Ос				1	24	23	25	27				24	28	36				7	3	3	54	0.6
935	44	13	6Ос	3Б	1Е				1	26	27	25	23				36	28	26				11	5	2	51	0.7
936	44	14	3Е	2Е	3Б	2Олч			1	24	24	26	25	22			24	30	26	22			5	2	2	35	0.6
937	44	15	4Б	2Олс	2Ос	2Е			1	19	19	17	21	18			16	14	18	20			5	2	2	41	0.7
938	44	16	6Е	1С	3Б				1	24	23	25	25				30	28	28				8	4	3	99	0.5
939	44	17	6Е	2Е	2Б				1	24	23	26	25				24	30	26				5	2	3	111	0.6
940	44	18	6Б	2Ос	2Е				1	25	26	27	22				28	36	24				11	5	2	337	0.7
941	44	19	3Е	2Е	4Б	1Ос			1	25	26	21	25	27			30	22	28	36			7	3	2	117	0.5
942	44	20	6Б	2Ос	2Е				1	25	25	27	22				22	36	30				11	5	2	44	0.6
943	44	21	5Олс	2Б	2Ос	1Е			1	19	18	20	22	18			14	16	18	20			5	4	2	45	0.7
944	44	22	10С						1	19	19						22						4	2	3	166	0.7
945	44	23	6Б	2Ос	2Е				1	21	20	25	19				18	22	26				11	5	4	22	0.6
946	44	24	4Б	2Ос	2Е	2Е			1	26	25	27	22	29			26	28	26	20			11	5	2	129	0.7
947	44	25	6Е	2Б	2Олс				1	9	8	10	9				10	6	6				2	1	2	55	0.6
948	44	26	4Ос	2Б	2Е	2Е			1	25	27	25	24	21			36	30	30	36			12	5	2	59	0.6
949	44	27	4Ос	3Б	3Олс				1	19	20	19	17				16	16	14				5	2	2	32	0.8
950	44	28	10С						1	11	11						16						4	2	5	15	0.6
951	44	29	7С	3С					1	11	12	9					20	14					8	4	5А	66	0.6
952	44	30	5С	2Е	3Б				1	23	23	22	24				30	26	26				8	4	3	17	0.6
953	44	31	6С	1Е	3Б				1	22	22	21	23				32	30	26				8	4	4	59	0.6
954	44	32	4Е	2Е	1С	2Б	1Ос		1	25	27	21	26	25	27		30	22	36	30	36		8	4	2	108	0.5
955	44	33	7С	3Б					1	17	18	15					28	16					8	4	5	32	0.5
956	44	34	6С	1Е	3Б				1	22	22	21	22				30	26	22				8	4	4	25	0.6
957	44	35	6Б	2С	2Е				1	25	25	25	23				30	30	28				12	5	3	13	0.5
958	44	36																									
959	45	1	6Ос	3Б	1Е				1	22	23	21	20				20	18	22				5	3	1	92	0.7
960	45	2	6Е	3Б	1Ос				1	19	17	22	23				18	18	22				3	2	2	178	0.8
961	45	3	3Б	3Ос	2Олс	2Е			1	20	20	22	18	19			18	22	16	20			5	2	2	104	0.7
962	45	4	4Ос	3Б	2Олс	1Е			1	21	22	21	19	18			20	18	16	20			5	3	1	152	0.7
963	45	5	6Е	2Ос	1Б	1Олс			1	11	10	13	12	11			10	10	8	8			2	1	2	46	0.8
964	45	6	5Ос	3Олс	2Б				1	15	16	14	15				12	10	10				4	2	2	19	0.7
965	45	7	4Е	4Б	2Ос				1	8	6	8	10				6	4	6				2	1	3	103	0.8
966	45	8	6Б	2Олч	1Ос	1Олс			1	11	11	10	13	9			6	6	8	6			3	2	3	15	0.8
967	45	9	3Е	4Б	3Ос				1	8	5	8	10				6	6	6				2	1	3	33	0.8
968	45	10	4Б	4Ос	2Олс				1	19	19	21	17				16	18	14				5	2	2	177	0.8
969	45	11	7Е	2Б	1Ос				1	20	19	22	23				20	20	20				3	2	2	20	0.7
970	45	12	5Е	1С	2Б	2Ос			1	25	24	25	25	26			24	24	22	26			4	2	1	97	0.7
971	45	13	7Б	1С	2Е				1	24	25	25	20				24	26	22				8	4	2	159	0.7
972	45	14	6Е	2Б	2Ос				1	8	7	10	10				10	10	10				1	1	1	44	0.6
973	45	15	3Е	4Олс	2Б	1Ос			1	9	7	9	10	11			10	8	8	8			2	1	2	47	0.8
974	45	16	5Б	2Ос	2Олч	1Олс			1	10	10	12	10	8			6	8	6	6			3	2	3	15	0.8
975	45	17	7Б	2Ос	1Олч				1	21	21	23	21				18	22	20				5	2	1	411	0.9
976	45	18	4Олч	2Олс	2Б	2Ос			1	19	18	17	20	20			18	14	18	20			5	2	2	15	0.6
977	45	19	6Ос	2Б	1Олч	1Олс			1	20	20	20	19	17			20	18	18	14			5	3	2	51	0.8
978	45	20	6Олч	4Б					7	19	18	20					20	18							3	1	
979	45	21	7Б	2Ос	1Олч				1	20	20	22	20				16	24	20				5	2	2	54	0.7
980	45	22	9Б	1Ос					1	20	20	23					16	20					5	2	2	55	0.8
981	45	23																									
982	45	24																									
983	45	25																									
984	55	1	10С						1	13	13						26						9	5	5А	39	0.5
985	55	2	8С	2С					1	9	8	11					10	14					4	2	5А	6	0.4
986	55	3	6С	4С					1	9	8	11					10	18					4	2	5А	42	0.6
987	55	4	7С	1Е	2Б				1	23	23	21	22				32	28	26				7	4	3	53	0.7
988	55	5	7Б	2С	1Е				1	26	26	27	26				28	36	28				12	5	2	21	0.5
989	55	6	7С	3С					1	12	13	8					24	14					8	4	5А	115	0.6
990	55	7	8С	2С					1	10	9	14					14	26					4	2	5	11	0.5
991	55	8	8С	2С					1	10	9	15					12	20					4	2	5	20	0.5
992	55	9	7С	2Е	1Б				1	24	24	23	23				32	30	28				7	4	3	274	0.6
993	55	10	7С	2Е	1Б				1	24	24	25	25				28	28	26				5	3	2	32	0.7
994	55	11	6С	4С					1	15	13	18					18	26					5	2	5	74	0.6
995	55	12	8С	1Е	1Б				1	24	24	23	24				28	26	26				5	3	2	30	0.6
996	55	13	6С	4С					1	13	11	15					14	26					4	2	5	86	0.6
997	55	14	10С						1	14	14						24						7	4	5	137	0.6
998	55	15	10С						1	17	17						26						7	4	5	86	0.6
999	55	16	8С	2С					1	14	13	16					18	24					5	2	5	121	0.6
1000	55	17	9С	1Б					1	10	10	10					10	8					3	2	4	51	0.9
1001	55	18	8С	2Б					1	22	22	23					24	22					4	2	2	79	0.7
1002	55	19	9С	1Б					1	10	10	12					10	8					2	1	3	153	0.9
1003	55	20	4Е	2С	4Б				1	13	13	11	15				14	12	10				3	2	3	15	0.7
1004	55	21	10С						1	25	25						28						7	4	3	336	0.7
1005	55	22	9С	1Б					1	9	9	10					10	8					3	2	4	9	0.6
1006	55	23																									
1007	55	24																									
1008	56	1	8Б	1Ос	1Е				1	27	27	27	24				28	36	28				12	5	2	59	0.6
1009	56	2	4Е	2Е	4Б				1	26	26	20	28				24	20	36				6	4	2	33	0.5
1010	56	3																							2		
1011	56	4	9Б	1Е					1	24	24	23					20	22					7	3	2	66	0.7
1012	56	5	5Б	4Олч	1Е				1	21	21	21	18				22	20	20				9	4	3	15	0.6
1013	56	6	10С						1	18	18						24						7	4	4	129	0.6
1014	56	7	6Б	2Ос	2Олс				1	4	4	3	4				2	2	2				1	1	3	26	0.7
1015	56	8	6С	2Е	2Б				1	23	23	21	23				22	22	20				6	4	3	177	0.7
1016	56	9	6С	2Е	2Б				1	25	26	23	26				30	26	28				6	4	2	226	0.7
1017	56	10	4С	2Е	4Б				1	1	2.0	1.0	1.0										1	1	4		0.7
1018	56	11	8С	1Е	1Б				1	21	21	19	23				24	20	24				4	2	2	8	0.7
1019	56	12	10С						1	24	24						28						8	5	3	12	0.7
1020	56	13	5С	4Е	1Б				1	9	10	7	12				12	14	10				3	2	4	26	0.8
1021	56	14	6Е	4Б					1	7	7	7					6	6					2	1	4	15	0.8
1022	56	15	5Е	2С	1Б	2Ос			1	24	23	24	25	27			30	30	26	36			8	5	3	70	0.5
1023	56	16	10С						1	17	17						22						5	2	4	41	0.7
1024	56	17	5Ос	3Б	2Е				1	25	26	25	23				30	26	28				10	5	2	51	0.6
1025	56	18	10С						1	20	20						24						4	2	3	24	0.7
1026	56	19	10С						1	23	23						30						7	4	3	83	0.7
1027	56	20	9С	1Б					1	18	18	15					28	16					8	4	5	56	0.4
1028	56	21	8С	2Б					1	12	13	10					18	10					5	2	5	66	0.6
1029	56	22	6Е	2Е	2Б				1	24	23	26	26				26	30	28				5	3	2	139	0.7
1030	56	23	7Е	3Б					1	12	12	12					10	8					3	2	3	52	0.8
1031	56	24	7Б	3Е					1	24	24	23					26	30					9	4	2	42	0.6
1032	56	25	8С	1Е	1Б				1	25	25	24	25				32	30	28				6	4	3	70	0.7
1033	56	26																									
1034	56	27																									
1035	56	28																									
1036	57	1	8Е	1С	1Б				1	21	21	21	21				24	26	20				7	3	4	78	0.6
1037	57	2	5Е	3С	1Б	1Ос			1	26	26	26	26	27			30	30	28	36			7	3	2	40	0.5
1038	57	3	4С	4Е	2Б				1	22	23	21	23				28	26	28				7	3	3	28	0.5
1039	57	4	6Б	3Ос	1Олс				1	21	20	25	19				18	20	16				5	2	2	8	0.7
1040	57	5	4Б	3Ос	3Е				1	26	28	28	22				30	30	24				11	5	2	61	0.6
1041	57	6	Поль	сухо	урож				ль:	ь 5	фо	зар	ц/				нд	осш	га.				адм	Тр	ини	покро	истра
1042	57	7	10Б						1	17	17						16						5	2	2	16	0.6
1043	57	8	10Е						1	22	22						20						7	3	4	10	0.5
1044	57	9	8С	1Е	1Б				1	22	22	20	22				24	24	22				7	3	3	151	0.5
1045	57	10	4Д	1С	5Б				1	19	19	17	20				18	20	16				3	2	2	21	0.6
1046	57	11	9Б	1С					1	24	24	24					26	28					7	2	2	102	0.6
1047	57	12	7Б	3Олс					1	14	15	13					12	10					3	2	2	25	0.7
1048	57	13	9С	1Е					1	23	23	19					26	20					7	3	3	119	0.7
1049	57	14	10С						1	18	18						28						8	4	5	66	0.5
1050	57	15	6Б	2С	2Е				1	19	19	19	18				16	18	16				10	4	4	71	0.7
1051	57	16	6Б	2Ос	1Олс	1Е			1	20	20	22	18	18			16	20	14	18			5	2	2	55	0.8
1052	57	17	6Ос	3Б	1Е				1	26	27	25	23				36	26	28				11	5	2	19	0.6
1053	57	18	7С	3Е					1	20	20	19					20	18					5	2	3	50	0.7
1054	57	19	8С	2Е					1	23	23	21					30	30					7	3	3	14	0.6
1055	57	20	7С	3Б					1	14	15	10					20	10					8	4	5	51	0.6
1056	57	21	5Е	2Олс	2Б	1Ивд			1	10	9	11	12	12			10	8	8	8			2	1	3	25	0.8
1057	57	22	5Б	1Ос	3Е	1С			1	25	26	27	23	23			30	36	30	30			10	4	2	82	0.6
1058	57	23	5С	2Е	3Б				1	23	23	22	25				32	30	30				4	2	2	60	0.6
1059	57	24	4Е	1С	2Д	2Б	1Олс		1	13	13	14	10	16	13		12	14	10	10	10		3	2	2	9	0.6
1060	57	25	8Е	2Б					1	9	9	7					8	4					2	1	3	9	0.8
1061	57	26																									
1062	57	27																									
1063	58	1	7Б	1С	2Е				1	23	24	23	20				20	22	22				7	2	2	41	0.7
1064	58	2	10Б						7	18	18						18								2	2	
1065	58	3	5Б	1Ос	2Е	2Е			1	24	27	28	22	18			30	36	24	18			12	5	2	67	0.5
1066	58	4	4Е	4Ос	2Б				1	15	11	17	17				14	16	14				2	1	2	137	0.8
1067	58	5	6Б	3Ос	1Олч				1	21	20	23	20				18	22	20				5	2	2	260	0.7
1068	58	6	8Б	2Ос					1	21	20	23					16	20					5	2	2	96	0.8
